ACT	Morningroom
I	null
don’tr‘depend	null
on	on
that	that
for	for
my	my
real	real
income	income
In	In
fact	fact
as	as
far	far
as	as
I	I
can	can
make	make
out	out
the	the
poachers	poachers
are	are
the	the
only	only
people	people
who	who
make	make
anything	anything
out	out
of	of
it	it
’	Lady
‘	Bracknell
LADY	null
VBRACKNELL	null
A	A
country	country
house	house
How	How
many	many
bedrooms	bedrooms
Well	Well
that	that
point	point
can	can
be	be
cleared	cleared
up	up
afterwards	afterwards
You	You
have	have
a	a
town	town
house	house
I	I
hope	hope
A	A
girl	girl
with	with
a	a
simple	simple
un	unspoiled
Spoiled	nature
naturelike	like
Gwendolen	Gwendolen
could	could
hardly	hardly
be	be
expected‘to	expected
null	to
reside	reside
in	in
the	the
country	country
JACK	Jack
L	null
Well	Well
I	I
own	own
a	a
house	house
in	in
Belgrave	Belgrave
Square	Square
but	but
it	it
is	is
let	let
by	by
the	the
year	year
to	to
Lady	Lady
Bloxham	Bloxham
Of	Of
course	course
I	I
can	can
get	get
it	it
back	back
whenever	whenever
I	I
like	like
at	at
six	six
months’	months
notice	notice
LADY	Lady
BRACKNELL	Bracknell
Lady	Lady
Bloxham	Bloxham
I	I
don’t	dont
know	know
her	her
JACK	Jack
Oh	Oh
shegoes	she
null	goes
about	about
very	very
little	little
She	She
is	is
a	a
lady	lady
con	considerably
siderably	null
advanced	advanced
in	in
years	years
LADY	Lady
BRACKNELL	Bracknell
Ah	Ah
nowadays	nowadays
that	that
is	is
no	no
guarantee	guarantee
of	of
respect	respectability
ability	null
of	of
character	character
What	What
number	number
in	in
Belgrave	Belgrave
Square	Square
JACK	Jack
I49	149
LADY	Lady
BRACKNELL	Bracknell
I	null
Shaking	Shaking
her	her
head	head
The	The
unfashionable	unfashionable
side	side
I	I
thought	thought
there	there
wassomething	was
null	something
However	However
that	that
could	could
easily	easily
be	be
altered	altered
0	Jack
ta	null
30	null
IXIE	null
IZIPCh9734AMHE	null
OF‘lLEZAﬂ3	null
EhiﬁHWZLfT	null
JACK	null
Do	Do
you	you
mean	mean
the	the
fashion	fashion
or	or
the	the
side	side
LADY	Lady
BRACKNELL	Bracknell
Stemly	Sternly
Both	Both
if	if
necessary	necessary
I	I
presume	presume
What	What
are	are
your	your
politics	politics
JACK	Jack
Well	Well
I	I
am	am
afraid	afraid
I	I
really	really
have	have
none	none
I	I
am	am
a	a
Liberal	Liberal
Unionist	Unionist
LADY	Lady
BRACKNELL	Bracknell
Oh	Oh
they	they
count	count
as	as
Tories	Tories
They	They
dine	dine
with	with
us	us
Or	Or
come	come
in	in
the	the
evening	evening
at	at
any	any
rate	rate
Now	Now
to	to
minor	minor
matters	matters
Are	Are
your	your
parents	parents
living	living
JACK	Jack
I	I
have	have
lost	lost
both	both
my	my
parents	parents
LADY	Lady
BRACKNELL	Bracknell
Both	To
That	lose
seems	one
null	parent
null	Mr
null	Worthing
null	may
null	be
null	regarded
null	as
null	a
null	misfortune
null	to
null	lose
null	both
null	looks
like	like
carelessness	carelessness
Who	Who
was	was
your	your
father	father
He	He
was	was
evidently	evidently
a	a
man	man
of	of
some	some
wealth	wealth
Was	Was
he	he
born	born
in	in
what	what
the	the
Radical	Radical
papers	papers
call	call
the	the
purple	purple
of	of
commerce	commerce
or	or
did	did
he	he
rise	rise
from	from
the	the
ranks	ranks
of	of
the	the
aristocracy	aristocracy
JACK	Jack
I	I
am	am
afraid	afraid
I	I
really	really
‘don’t	dont
know	know
The	The
fact	fact
is	is
Lady	Lady
Bracknell	Bracknell
I	I
said	said
I	I
had	had
lost	lost
my	my
parents	parents
It	It
would	would
be	be
nearer	nearer
the	the
truth	truth
to	to
say	say
that	that
my	my
parents	parents
seem	seem
to	to
have	have
lost	lost
me	me
Idon’t	I
null	dont
actually	actually
know	know
who	who
I	I
am	am
by	by
birth	birth
I	I
was	was
well	well
I	I
was	was
i	null
found	found
LADY	Lady
BRACKNELL	Bracknell
‘	null
Found	Found
1	Jack
r	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
331	null
JACK	null
The	The
late	late
Mr	Mr
Thomas	Thomas
Cardew	Cardew
an	an
old	old
gentleman	gentleman
of	of
a	a
very	very
charitable	charitable
and	and
kindly	kindly
disposition	disposition
found	found
me	me
and	and
gave	gave
me	me
the	the
name	name
of	of
Worthing	Worthing
because	because
he	he
happened	happened
to	to
have	have
a	a
ﬁrstclass	firstclass
ticket	ticket
for	for
Worthing	Worthing
in	in
his	his
pocket	pocket
at	at
the	the
time	time
Worthing	Worthing
is	is
a	a
place	place
in	in
Susisex	Sussex
It	It
is	is
a	a
seaside	seaside
resort	resort
LADY	Lady
BRACKNELL	Bracknell
Where	Where
did	did
the	the
charitable	charitable
gentleman	gentleman
who	who
had	had
a	a
ﬁrstclass	firstclass
ticket	ticket
for	for
this	this
seaside	seaside
resort	resort
ﬁnd	find
you	you
JACK	Jack
‘	null
Gravely	Gravely
In	In
a	a
handbag	handbag
r	Lady
LADY	Bracknell
BRACKNELL	null
A	A
handbag	handbag
JACK	Jack
V	Very
ery	null
seriously	seriously
Yes	Yes
Lady	Lady
Braclmell	Bracknell
I	I
was	was
in	in
a	a
hand—bag—a	handbaga
somewhat	somewhat
large	large
black	black
leather	leather
handbag	handbag
with	with
handles	handles
to	to
it—an	itan
ordinary	ordinary
handbag	handbag
in	in
fact	fact
LADY	Lady
BRACKNELL	Bracknell
I	null
y	null
In	In
what	what
locality	locality
did	did
this	this
Mr	Mr
James	James
or	or
Thomas	Thomas
JQardew	Cardew
come	come
across	across
this	this
ordinary	ordinary
hand—bag	handbag
JACK	Jack
In	In
the	the
cloakroom	cloakroom
at	at
Victoria	Victoria
Station	Station
It	It
was	was
given	given
to	to
him	him
in	in
mistake	mistake
for	for
his	his
own	own
M	Lady
LADY	Bracknell
BRACKNELL	null
The	The
cloakroom	cloakroom
at	at
Victoria	Victoria
Station	Station
32	Jack
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
JACK	null
Yes	Yes
The	The
Brighton	Brighton
line	line
LADY	Lady
BRACKNELL	Bracknell
The	The
line	line
is	is
immaterial	immaterial
Mr	Mr
Worthing	Worthing
I	I
confess	confess
I	I
feel	feel
somewhat	somewhat
bewildered	bewildered
by	by
what	what
you	you
have	have
just	just
told	told
me	me
To	To
be	be
born	born
or	or
at	at
any	any
rate	rate
bred	bred
in	in
a	a
handbag	handbag
whetherit	whether
null	it
had	had
handles	handles
or	or
not	not
seems	seems
to	to
me	me
to	to
display	display
a	a
contempt	contempt
for	for
the	the
ordinary	ordinary
decencies	decencies
of	of
family	family
life	life
that	that
remind	reminds
one	one
of	of
the	the
worst	worst
excesses	excesses
of	of
the	the
French	French
Revolution	Revolution
And	And
I	I
presume	presume
you	you
know	know
what	what
that	that
unfortunate	unfortunate
movement	movement
led	led
to	to
As	As
for	for
the	the
particular	particular
locality	locality
in	in
which	which
the	the
handbag	handbag
was	was
found	found
a	a
cloakroom	cloakroom
at	at
a	a
railway	railway
station	station
might	might
serve	serve
to	to
conceal	conceal
a	a
social	social
indiscretionnhas	indiscretionhas
probably	probably
indeed	indeed
been	been
used	used
for	for
that	that
purpose	purpose
before	before
now—but	nowbut
it	it
could	could
hardly	hardly
be	be
regarded	regarded
as	as
an	an
assured	assured
basis	basis
for	for
a	a
recognized	recognised
position	position
in	in
good	good
society	society
JACK	Jack
May	May
I	I
ask	ask
you	you
then	then
What	what
you	you
would	would
advise	advise
me	me
to	to
do	do
I	I
need	need
hardly	hardly
say	say
I	I
would	would
do	do
anything	anything
in	in
the	the
world	world
to	to
insure	ensure
Gwendolen’s	Gwendolens
happiness	happiness
LADY	Lady
BRACKNELL	Bracknell
I	I
would	would
strongly	strongly
advise	advise
you	you
Mr	Mr
Worthing	Worthing
to	to
try	try
and	and
acquire	acquire
some	some
relatiOns	relations
as	as
soon	soon
as	as
possible	possible
and	and
to	to
make	make
a	a
deﬁnite	definite
effort	effort
to	to
produce	produce
at	at
any	any
rate	rate
one	one
parent	parent
of	of
either	either
sex	sex
before	before
the	the
season	season
is	is
quite	quite
over	over
JACK	Jack
Well	Well
I	I
don’t	dont
see	see
how	how
I	I
could	could
possibly	possibly
manage	manage
to	to
do	do
that	that
I	I
can	can
produce	produce
the	the
handbag	handbag
at	at
any	any
moment	moment
It	It
is	is
in	in
my	my
dressing—room	dressingroom
at	at
home	home
I	I
really	really
think	think
that	that
should	should
satisfy	satisfy
you	you
Lady	Lady
Bracknell	Bracknell
2715	Lady
IMPORTANCE	Bracknell
OF	null
BEING	null
EARVEST	null
33	null
LADY	null
BRACKNELL	null
Me	Me
sir	sir
What	What
has	has
itgto	it
null	to
do	do
with	with
me	me
You	You
can	can
hardly	hardly
imagine	imagine
that	that
I	I
and	and
Lord	Lord
Bracknell	Bracknell
would	would
dream	dream
of	of
allowing	allowing
our	our
only	only
daughter—a	daughtera
girl	girl
brought	brought
up	up
with	with
the	the
utmost	utmost
care—to	careto
marry	marry
into	into
a	a
cloakroom	cloak
null	room
and	and
form	form
an	an
alliance	alliance
with	with
a	a
parcel	parcel
Goodmorning	Good
null	morning
Mr	Mr
Worthing	Worthing
LADY	Lady
BRACKNELL	Bracknell
sweeps	sweeps
out	out
in	in
majestic	majestic
indignation	indignation
JACK	Jack
Good—morning	Good
ALGERNON	morning
null	Algernon
from	from
the	the
other	other
room	room
strikes	strikes
up	up
the	the
Wedding	Wedding
March	March
JACK	Jack
looks	looks
perfectly	perfectly
furious	furious
and	and
gees	goes
to	to
the	the
dean	door
For	For
goodness’	goodness
sake	sake
don’t	dont
play	play
that	that
ghastly	ghastly
tune	tune
Algy	Algy
How	How
idiotic	idiotic
you	you
are	are
The	The
music	music
stops	stops
and	and
ALGERNON	Algernon
enters	enters
cheerily	cheerily
ALGERNON	Algernon
Didn’t	Didnt
it	it
go	go
off	off
all	all
right	right
old	old
boy	boy
You	You
don’t	dont
mean	mean
to	to
say	say
Gwendolen	Gwendolen
refused	refused
you	you
I	I
know	know
it	it
is	is
a	a
way	way
she	she
has	has
She	She
is	is
always	always
refusing	refusing
people	people
I	I
think	think
it	it
is	is
most	most
illnatured	illnatured
of	of
her	her
JACK	Jack
Oh	Oh
Gwendolen	Gwendolen
is	is
as	as
right	right
as	as
a	a
trivet	trivet
As	As
far	far
as	as
r	null
she	she
is	is
concerned	concerned
we	we
are	are
engaged	engaged
Her	Her
mother	mother
is	is
perfectly	perfectly
unbearable	unbearable
Never	Never
met	met
such	such
a	a
Gorgon	Gorgon
I	I
don’t	dont
really	really
know	know
what	what
a	a
Gorgon	Gorgon
is	is
like	like
but	but
I	I
am	am
quite	quite
sure	sure
that	that
Lady	Lady
Bracknell	Bracknell
is	is
one	one
In	In
any	any
case	case
she	she
is	is
a	a
monster	monster
without	without
being	being
a	a
myth	myth
I	null
which	which
is	is
rather	rather
unfair	unfair
I	I
beg	beg
your	your
pardon	pardon
Ngy	Algy
I	I
suppose	suppose
I	I
shouldn’t	shouldnt
talk	talk
about	about
your	your
owl	own
I	null
aunt	aunt
in	in
that	that
way	way
before	before
you	you
34	Algernon
THE	null
IMPORTANCE	null
OF‘	null
BEING	null
BARNES	null
r	null
ALGERNON	null
My	My
dear	dear
boy	boy
I	I
love	love
hearing	hearing
my	my
relations	relations
abused	abused
It	It
is	is
the	the
only	only
thing	thing
that	that
makes	makes
me	me
put	put
up	up
with	with
them	them
at	at
all	all
Relations	Relations
are	are
simply	simply
a	a
tedious	tedious
pack	pack
of	of
people	people
who	who
haven’t	havent
got	got
the	the
remotest	remotest
knowledge	knowledge
of	of
h‘o’xg	how
to	to
live	live
nor	nor
the	the
smallest	smallest
instinct	instinct
about	about
when	when
to	to
ie	die
‘	Jack
JACK	null
Oh	Oh
that	that
is	is
nonsense	nonsense
ALGERNON	Algernon
It	It
isn’t	isnt
I	Jack
JACK	null
Well	Well
I	I
won’t	wont
argue	argue
about	about
the	the
matter	matter
You	You
always	always
want	want
to	to
argue	argue
about	about
things	things
ALGERNON	Algernon
That	That
is	is
exactly	exactly
what	what
things	things
were	were
originally	originally
made	made
for	for
JACK	Jack
Upon	Upon
my	my
word	word
if	if
I	I
thought	thought
that	that
I’d	Id
shoot	shoot
myself	myself
A	A
puma	pause
YOu	You
don’t	dont
think	think
there	there
is	is
any	any
chance	chance
of	of
Gwend’olen	Gwendolen
becoming	becoming
like	like
her	her
mother	mother
in	in
about	about
a	a
hundred	hundred
and	and
ﬁfty	fifty
years	years
do	do
you	you
Algy	Algy
ALGERNON	Algernon
All	All
women	women
become	become
like	like
their	their
mothers	mothers
That	That
is	is
their	their
tragedy	tragedy
No	No
man	man
does	does
That’s	Thats
his	his
Jacx	Jack
Is	Is
that	that
clever	clever
rim	Algernon
IMPORTANCE	null
OF	null
BEING	null
EARJVEST	null
3	null
ALGERNON	null
It	It
is	is
perfectly	perfectly
phrased	phrased
and	and
quite	quite
as	as
true	true
as	as
any	any
observation	observation
in	in
civilized	civilised
life	life
should	should
be	be
JACK	Jack
I	I
am	am
sick	sick
to	to
death	death
of	of
cleverness	cleverness
Everybody	Everybody
is	is
clever	clever
nowadays	nowadays
You	You
can’t	cant
go	go
anywhere	anywhere
without	without
meeting	meeting
clever	clever
people	people
The	The
thing	thing
has	has
become	become
an	an
absolute	absolute
public	public
nuisance	nuisance
I	I
wish	wish
to	to
goodness	goodness
we	we
Earl	had
a	a
few	few
fools	fools
left	left
ALGERNON	Algernon
We	We
have	have
JACK	Jack
I	I
should	should
extremely	extremely
like	like
to	to
meet	meet
them	them
What	What
do	do
they	they
talk	talk
about	about
ALGERNON	Algernon
The	The
fools	fools
Oh	Oh
about	about
the	the
clever	clever
people	people
of	of
course	course
JACK	Jack
What	What
fools	fools
ALGERNON	Algernon
By	By
the	the
way	way
did	did
you	you
tell	tell
Gwendolen	Gwendolen
the	the
truth	truth
V	null
about	about
your	your
being	being
Ernest	Ernest
in	in
town	town
and	and
Jack	Jack
in	in
the	the
country	country
JACK	Jack
In	In
a	a
very	very
patronizing	patronising
manner	manner
My	My
dear	dear
fellow	fellow
the	the
truth	truth
isn’t	isnt
quite	quite
the	the
sort	sort
of	of
thing	thing
one	one
tells	tells
to	to
a	a
nice	nice
sweet	sweet
reﬁned	refined
girl	girl
What	What
extraordinary	extraordinary
ideas	ideas
you	you
have	have
about	about
the	the
way	way
to	to
behave	behave
to	to
a	a
woman	woman
l	Algernon
36	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
ALGERNON	null
The	The
only	only
way	way
to	to
behave	behave
to	to
a	a
woman	woman
is	is
to	to
make	make
love	love
to	to
her	her
if	if
she	she
is	is
pretty	pretty
and	and
to	to
some	some
one	one
else	else
if	if
she	she
is	is
plain	plain
JACK	Jack
Oh	Oh
that	that
is	is
nonsense	nonsense
ALGERNON	Algernon
What	What
about	about
your	your
brother	brother
What	What
about	about
the	the
proﬂigate	profligate
Ernest	Ernest
JACK	Jack
Oh	Oh
before	before
the	the
end	end
of	of
the	the
week	week
I	I
shall	shall
have	have
got	got
rid	rid
of	of
him	him
I’ll	Ill
say	say
he	he
died	died
in	in
Paris	Paris
of	of
apopleXy	apoplexy
Lots	Lots
of	of
people	people
die	die
of	of
apoplexy	apoplexy
quite	quite
suddenly	suddenly
don’t	dont
they	they
ALGERNON	Algernon
Yes	Yes
but	but
it’s	its
hereditary	hereditary
my	my
dear	dear
fellow	fellow
It’s	Its
a	a
sort	sort
of	of
thingthat	thing
null	that
runs	runs
in	in
families	families
You	You
had	had
much	much
better	better
say	say
a	a
severe	severe
chill	chill
JACK	Jack
»	null
You	You
are	are
sure	sure
a	a
severe	severe
chill	chill
isn’t	isnt
hereditary	hereditary
or	or
anything	anything
of	of
that	that
kind	kind
ALGERNON	Algernon
Of	Of
course	course
it	it
isn’t	isnt
JACK	Jack
Very	Very
well	well
then	then
My	My
poor	poor
brother	brother
Ernest	Ernest
isl	to
‘	null
carried	carried
off	off
snddenlv	suddenly
in	in
Paris	Paris
by	by
a	a
severe	severe
chill	chill
That	That
gets	gets
rid	rid
of	of
him	him
‘	Algernon
TfIEYMPORTANCE	null
OF	null
BEING	null
EARNEST	null
37	null
ALGERNON	null
But	But
I	I
thought	thought
you	you
said	said
that	that
Miss	Miss
Cardew	Cardew
L	null
was	was
a	a
little	little
too	too
much	much
interested	interested
in	in
your	your
poor	poor
brother	brother
Ernest	Ernest
Won’t	Wont
she	she
feel	feel
his	his
loss	loss
a	a
good	good
deal	deal
JACK	Jack
Oh	Oh
that	that
is	is
all	all
right	right
Cecily	Cecily
is	is
not	not
a	a
silly	silly
romantic	romantic
girl	girl
I	I
am	am
glad	glad
to	to
say	say
She	She
has	has
got	got
a	a
capital	capital
appetite	appetite
goes	goes
long	long
walks	walks
and	and
pays	pays
no	no
attention	attention
at	at
all	all
to	to
her	her
lessons	lessons
ALGERNON	Algernon
I	I
would	would
rather	rather
like	like
to	to
see	see
Cecily	Cecily
JACK	Jack
I	I
will	will
take	take
very	very
good	good
care	care
you	you
never	never
do	do
She	She
is	is
excessively	excessively
pretty	pretty
and	and
she	she
is	is
only	only
just	just
eighteen	eighteen
ALGERNON	Algernon
Have	Have
you	you
told	told
Gwendolen	Gwendolen
yet	yet
that	that
you	you
have	have
an	an
excessively	excessively
pretty	pretty
ward	ward
who	who
is	is
only	only
just	just
eighteen	eighteen
JACK	Jack
Oh	Oh
one	one
doesn’t	doesnt
blurt	blurt
these	these
things	things
out	out
to	to
people	people
Cecily	Cecily
and	and
Gwendolen	Gwendolen
are	are
perfectly	perfectly
certain	certain
to	to
be	be
I	null
‘	null
extremely	extremely
great	great
friends	friends
I’ll	Ill
bet	bet
you	you
anything	anything
you	you
I	null
like	like
that	that
half	half
an	an
hour	hour
after	after
they	they
have	have
met	met
they	they
will	will
g	null
be	be
calling	calling
each	each
other	other
sister	sister
ALGERNON	Algernon
r	null
Women	Women
only	only
do	do
that	that
when	when
they	they
have	have
called	called
each	each
other	other
a	a
lot	lot
of	of
other	other
things	things
ﬁrst	first
Now	Now
my	my
dear	dear
boy	boy
if	if
we	we
want	want
to	to
get	get
a	a
good	good
table	table
at	at
Willis’s	Williss
we	we
really	really
‘	null
must	must
go	go
and	and
dress	dress
Do	Do
you	you
know	know
it	it
is	is
nearly	nearly
seven	seven
33	Jack
THE	Irritably
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
JACK	null
Irritabl	null
Oh	Oh
it	It
alwa	always
s	null
is	is
nearl	nearly
seven	seven
3’	Algernon
y	null
Y	null
ALGERNON	null
Well	Well
I’m	Im
hungry	hungry
JACK	Jack
I	I
never	never
knew	knew
you	you
when	when
you	you
weren’t	werent
ALGERNON	Algernon
What	What
shall	shall
we	we
do	do
after	after
dinner	dinner
Go	Go
to	to
a	a
theatre	theatre
JACK	Jack
Oh	Oh
no	no
I	I
loathe	loathe
listening	listening
ALGERNON	Algernon
’Well	Well
let	let
us	us
go	go
to	to
the	the
Club	Club
JACK	Jack
Oh	Oh
no	no
I	I
hate	hate
talking	talking
ALGERNON	Algernon
Well	Well
we	we
might	might
trot	trot
round	round
to	to
the	the
Empire	Empire
at	at
ten	ten
JACK	Jack
L	null
Oh	Oh
no	no
I	I
can’t	cant
bear	bear
looking	looking
at	at
things	things
It	It
is	is
so	so
silly	silly
ALGERNON	Algernon
Well	Well
what	what
shall	shall
we	we
do	do
JACK	Jack
Nothing	Nothing
‘	Algernon
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
39	null
ALGERNON	null
It	It
is	is
awfully	awfully
hard	hard
Work	work
doing	doing
nothing	nothing
However	However
I	I
don’t	dont
mind	mind
hard	hard
work	work
where	where
there	there
is	is
no	no
deﬁnite	definite
object	object
of	of
any	any
kind	kind
Enter	Enter
LANE	Lane
LANE	Lane
Miss	Miss
Fairfax	Fairfax
Enter	Enter
GWENDOLEN	Gwendolen
LANE	Lane
goes	goes
out	out
ALGERNON	Algernon
GWendolen	Gwendolen
upon	upon
my	my
word	word
GWENDOLEN	Gwendolen
Algy	Algy
kindly	kindly
turn	turn
your	your
back	back
I	I
have	have
somethinf	something
very	very
particular	particular
to	to
say	say
to	to
Mr	Mr
Worthing	Worthing
ALGERNON	Algernon
Really	Really
Gwendolen	Gwendolen
I	I
don’t	dont
think	think
I	I
can	can
allow	allow
this	this
at	at
all	all
GWENDOLEN	Gwendolen
7	null
Algy	Algy
you	you
always	always
adopt	adopt
a	a
strictly	strictly
immoral	immoral
attitude	attitude
toward	towards
life	life
You	You
are	are
not	not
quite	quite
old	old
enough	enough
to	to
do	do
i	null
that	that
ALGERNON	Algernon
retires	retires
to	to
the	the
ﬁreplace	fireplace
JACK	Jack
My	My
own	own
darling	darling
GWENDOLEN	Gwendolen
Ernest’	Ernest
we	we
may	may
never	never
be	be
married	married
From	From
the	the
expression	expression
on	on
mamma’s	mammas
face	face
I	I
fear	fear
we	we
never	never
shall	shall
Few	Few
parents	parents
nowadays	nowadays
pay	pay
any	any
regard	regard
to	to
what	what
their	their
children	children
say	say
to	to
them	them
The	The
Voidfashioned	oldfashioned
respect	respect
for	for
the	the
young	young
is	is
fast	fast
dying	dying
out	out
Whatever	Whatever
inﬂuence	influence
I	I
ever	ever
had	had
over	over
mamma	mamma
I	I
lost	lost
at	at
the	the
age	age
of	of
three	three
40	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
But	But
although	although
she	she
may	may
prevent	prevent
us	us
from	from
becoming	becoming
man	man
and	and
wife	wife
and	and
I	I
may	may
marry	marry
some	some
one	one
else	else
and	and
marry	marry
often	often
nothing	nothing
that	that
she	she
can	can
possibly	possibly
do	do
can	can
alter	alter
my	my
eternal	eternal
devotion	devotion
to	to
you	you
JACK	Jack
Dear	Dear
Gwendolenl	Gwendolen
GWENDOLEN	Gwendolen
The	The
story	story
of	of
your	your
romantic	romantic
origin	origin
as	as
related	related
to	to
me	me
by	by
mamma	mamma
with	with
unpleasing	unpleasing
comments	comments
has	has
naturally	naturally
stirred	stirred
the	the
deeper	deeper
ﬁbres	fibres
of	of
my	my
nature	nature
Your	Your
Christian	Christian
name	name
has	has
an	an
irresistible	irresistible
fascination	fascination
The	The
simplicity	simplicity
of	of
your	your
character	character
makes	makes
you	you
exquisitely	exquisitely
incomprehensible	incomprehensible
to	to
me	me
Your	Your
town	town
address	address
at	at
the	the
Albany	Albany
I	I
have	have
What	What
is	is
your	your
address	address
in	in
the	the
country	country
JACK	Jack
The	The
Manor	Manor
House	House
Woolton	Woolton
Hertfordshire	Hertfordshire
ALGERNON	Algernon
who	who
has	has
been	been
carefully	carefully
listen	listening
ing	null
smiles	smiles
to	to
himself	himself
and	and
writes	writes
the	the
address	address
on	on
his	his
shirt—eilﬁ	shirtcuff
Then	Then
picks	picks
up	up
the	the
Railway	Railway
Guide	Guide
GWENDOLEN	Gwendolen
There	There
is	is
a	a
good	good
postal	postal
service	service
I	I
suppose	suppose
It	It
may	may
be	be
necessary	necessary
to	to
do	do
something	something
desperate	desperate
That	That
of	of
course	course
will	will
require	require
serious	serious
consideration	consideration
I	I
will	will
communicate	communicate
with	with
you	you
daily	daily
I	Jack
JACK	null
My	My
own	own
one	one
’	Gwendolen
GWENDOLEN	null
How	How
long	long
do	do
you	you
remain	remain
in	in
town	town
ﬁHEthPORIMAMEDW‘BﬁYNG	Jack
£11ﬂﬂEST	null
A	null
JACK	null
Till	Till
Mendayg	Monday
I	Gwendolen
GWENDOLEN	null
Good	Good
Algy	Algy
you	you
may	may
turn	turn
round	round
now	now
ALGERNON	Algernon
Thanks	Thanks
I’ve	Ive
turned	turned
round	round
already	already
GWENDOLEN	Gwendolen
You	You
may	may
also	also
ring	ring
the	the
bell	bell
JACK	Jack
You	You
will	will
let	let
me	me
see	see
you	you
to	to
your	your
carriage	carriage
my	my
own	own
darling	darling
GWENDQLEN	Gwendolen
‘	null
Certainly	Certainly
‘	Jack
JACK	null
To	To
LANE	Lane
who	who
now	now
enters	enters
I	I
will	will
see	see
Miss	Miss
Fair£ax	Fairfax
out	out
LANE	Lane
Yes	Yes
sir	sir
JACK	Jack
and	and
GWENDOLEN	Gwendolen
go	go
017“	off
LANE	Lane
presents	presents
several	several
letters	letters
on	on
a	a
salver	salver
to	to
ALGERNON	Algernon
It	It
is	is
to	to
be	be
surmised	surmised
that	that
they	they
are	are
bills	bills
as	as
ALGERNON	Algernon
after	after
looking	looking
at	at
the	the
envelopes	envelopes
tears	tears
them	them
up	up
ALGERNON3	Algernon
A	A
glass	glass
of	of
sherry	sherry
Lane	Lane
LANE	Lane
Yes	Yes
sir	sir
ACT	Algernon
11	Tomorrow
SCENE—Garden	Lane
null	Im
null	going
null	Bunburying
null	Lane
null	Yes
null	sir
null	Algernon
null	I
null	shall
null	probably
null	not
null	be
null	back
null	till
null	Monday
null	You
null	can
null	put
null	up
null	my
null	dress
null	clothes
null	my
null	smoking
null	jacket
null	and
null	all
null	the
null	Bunbury
null	suits
null	Lane
null	Yes
null	sir
null	Handing
null	sherry
null	Algernon
null	I
null	hope
null	tomorrow
null	will
null	be
null	a
null	fine
null	day
null	Lane
null	Lane
null	It
null	never
null	is
null	sir
null	Algernon
null	Lane
null	youre
null	a
null	perfect
null	pessimist
null	Lane
null	I
null	do
null	my
null	best
null	to
null	give
null	satisfaction
null	sir
null	Enter
null	Jack
null	Lane
null	goes
null	off
null	Jack
null	Theres
null	a
null	sensible
null	intellectual
null	girl
null	the
null	only
null	girl
null	I
null	ever
null	cared
null	for
null	in
null	my
null	life
null	Algernon
null	is
null	laughing
null	immoderately
null	What
null	on
null	earth
null	are
null	you
null	so
null	amused
at	at
null	Algernon
null	Oh
null	Im
null	a
null	little
null	anxious
null	about
null	poor
null	Bunbury
null	that
null	is
null	all
null	Jack
null	If
null	you
null	dont
null	take
null	care
null	your
null	friend
null	Bunbury
null	will
null	get
null	you
null	into
null	a
null	serious
null	scrape
null	some
null	day
null	Algernon
null	I
null	love
null	scrapes
null	They
null	are
the	the
null	only
null	things
null	that
null	are
null	never
null	serious
null	Jack
null	Oh
null	thats
null	nonsense
null	Algy
null	You
null	never
null	talk
null	anything
null	but
null	nonsense
null	Algernon
null	Nobody
null	ever
null	does
null	Jack
null	looks
null	indignantly
null	at
null	him
null	and
null	leaves
null	the
null	room
null	Algernon
null	lights
null	a
null	cigarette
null	reads
null	his
null	shirtcuff
null	and
null	smiles
null	Garden
null	at
null	the
Manor	Manor
House	House
A	A
ﬂight	flight
of	of
gray	grey
stone	stone
steps	steps
leads	leads
up	up
to	to
the	the
house	house
The	The
garden	garden
an	an
old—fashioned	oldfashioned
one	one
full	full
of	of
roses	roses
Time	Time
of	of
year	year
July	July
Basket	Basket
chairs	chairs
and	and
a	a
table	table
covered	covered
with	with
books	books
are	are
set	set
under	under
a	a
large	large
yew	yewtree
tree	Miss
MIss	Prism
PRISM	null
discovered	discovered
seated	seated
at	at
the	the
table	table
CECILY	Cecily
is	is
at	at
the	the
back	back
watering	watering
ﬂowers	flowers
MISS	Miss
PRISM	Prism
Calling	Calling
Cecily	Cecily
Cecily	Cecily
Surely	Surely
such	such
a	a
utilitarian	utilitarian
occupation	occupation
as	as
the	the
watering	watering
of	of
ﬂowers	flowers
is	is
rather	rather
Moulton’s	Moultons
duty	duty
than	than
yours	yours
Especially	Especially
at	at
a	a
moment	moment
when	when
intellectual	intellectual
pleasures	pleasures
await	await
you	you
Your	Your
Ger—	German
man	null
grammar	grammar
is	is
on	on
the	the
table	table
Pray	Pray
open	open
it	it
at	at
page	page
ﬁfteen	fifteen
We	We
will	will
repeat	repeat
yesterday’s	yesterdays
lesson	lesson
CECILY	Cecily
r	Coming
Corning	null
over	over
very	very
slowly	slowly
But	But
I	I
don’t	dont
like	like
German	German
It	It
isn’t	isnt
at	at
