HARVARD	Sir
almou	every
day	day
The	The
Muagmvel	Musgroves
m	could
hardly	hardly
be	be
more	more
readyﬂtzryinvite	ready
null	to
null	invite
than	than
he	he
to	to
come	come
particularly	particularly
in	in
the	the
morning	morning
when	when
he	he
hadnocnrnpanionathnme	had
forthe	no
null	companion
null	at
null	home
null	for
null	the
Admiral	Admiral
and	and
Mn	Mrs
Croft	Croft
were	were
generally	generally
out	out
of	of
door	doors
wptherﬁnreruting	together
thermal	interesting
null	themselves
in	in
their	their
new	new
theirgnaa	possessions
md	their
null	grass
null	and
their	their
null	sheep
and	and
dawdling	dawdling
about	about
in	in
3	a
way	way
not	not
endurable	endurable
to	to
a	a
thi	third
POM	person
ordrivin	or
null	driving
out	out
in	in
a	a
i	gig
atel	lately
added	added
to	to
their	their
enablinth	establishment
g	null
g	null
g	null
y	null
Hitherto	Hitherto
there	there
had	had
been	been
but	but
one	one
ion	opinion
of	of
Captain	Captain
Wentworth	Wentworth
among	among
the	the
Mangroves	Musgroves
ad	and
their	their
dependencies	dependencies
It	It
wla	was
unvarying	unvarying
warm	warm
admiration	admiration
everywhere	everywhere
but	but
thi	this
indrnate	intimate
footing	footing
war	was
not	not
more	more
than	than
enablilhed	established
when	when
a	a
certain	certain
Charle	Charles
Hayter	Hayter
returned	returned
amon	among
them	them
to	to
he	be
a	a
good	good
deal	deal
dilturbed	disturbed
by	by
it	it
and	and
to	to
think	think
aptain	Captain
Wentworth	Wentworth
very	very
much	much
in	in
the	the
way	way
Charlel	Charles
Hayter	Hayter
was	was
the	the
eldeet	eldest
of	of
all	all
the	the
conﬁne	cousins
and	and
I	a
very	very
amiable	amiable
pleating	pleasing
young	young
man	man
between	between
whom	whom
and	and
Henrietta	Henrietta
there	there
had	had
been	been
a	a
oonridemble	considerable
appearance	appearance
of	of
nttlchmnt	attachment
previmu	previous
to	to
Captain	Captain
Wentworthi	Wentworths
introduction	introduction
He	He
war	was
in	in
order	orders
and	and
having	having
a	a
curacy	curacy
in	in
the	the
neighbourhood	neighbourhood
where	where
reridence	residence
war	was
not	not
uired	required
lived	lived
u	at
hie	his
father‘e	fathers
home	house
only	only
two	two
mile	miles
fwdnub	from
emu	Uppercross
A	A
ehort	short
sheence	absence
from	from
home	home
had	had
left	left
llll	his
fair	fair
one	one
noguarded	unguarded
by	by
hie	his
attention	attentions
at	at
thin	this
critical	critical
riod	period
and	and
when	when
he	he
came	came
back	back
he	he
had	had
the	the
pain	pain
of	of
nding	finding
very	very
Illered	altered
manners	manners
and	and
of	of
Ieein	seeing
Captain	Captain
Wentworth	Wentworth
Mn	Mrs
Mugrove	Musgrove
and	and
Mn	Mrs
ayter	Hayter
were	were
timers	sisters
They	They
had	had
each	each
had	had
money	money
but	but
their	their
marriage	marriages
had	had
made	made
a	a
mutedl	material
difference	difference
in	in
their	their
degree	degree
of	of
cnnlequence	consequence
Mr	Mr
llnyter	Hayter
had	had
come	some
property	property
of	of
hit	his
own	own
but	but
it	it
wan	was
inrigniﬁcnnt	insignificant
compared	compared
with	with
Mr	Mr
Mulgmvee	Musgroves
and	and
while	while
the	the
Mummvet	Musgroves
were	were
in	in
the	the
ﬂat	first
clan	class
of	of
society	society
in	in
the	the
mimicry	country
the	the
young	young
Hayterl	Hayters
would	would
from	from
their	their
parenu’	parents
inhaler	inferior
retired	retired
and	and
unpolilhed	unpolished
way	way
of	of
living	living
and	and
their	their
“m	own
defective	defective
education	education
have	have
been	been
hardly	hardly
In	in
any	any
clan	class
punsuuron	null
75	null
at	at
all	all
but	but
for	for
their	their
connexion	connexion
with	with
Up	Uppercross
rcrou	null
this	this
eldeat	eldest
can	son
of	of
comic	course
excepted	excepted
who	who
had	had
c	chosen
n	null
to	to
be	be
a	a
Icholar	scholar
and	and
u	a
gentleman	gentleman
and	and
who	who
won	was
very	very
luperior	superior
in	in
cultivation	cultivation
and	and
manner	manners
to	to
all	all
the	the
rent	rest
The	The
two	two
familiee	families
had	had
alwayl	always
been	been
on	on
excellent	excellent
terme	terms
there	there
being	being
no	no
pride	pride
on	on
one	one
tide	side
and	and
no	no
envy	envy
on	on
the	the
other	other
and	and
only	only
much	such
a	a
conncioumcel	consciousness
of	of
luperiority	superiority
in	in
the	the
Mist	Miss
Mangroves	Musgroves
at	as
made	made
them	them
pleased	pleased
to	to
improve	improve
their	their
cauunl	cousins
Charley’s	Charless
attendant	attentions
to	to
Henrietta	Henrietta
had	had
been	been
observed	observed
b	by
her	her
father	father
and	and
mother	mother
without	without
any	any
diea	disapprobation
robution	It
twould	would
not	not
be	be
a	a
great	great
match	match
for	for
her	her
butt	but
null	if
Henrietta	Henrietta
lilted	liked
him”—and	himand
Henrietta	Henrietta
5	did
aeem	seem
to	to
like‘	like
him	him
Henrietta	Henrietta
fully	fully
thought	thought
no	so
herelf	herself
before	before
Captain	Captain
Wentworth	Wentworth
tame	came
but	but
from	from
that	that
time	time
Cousin	Cousin
Charlel	Charles
had	had
been	been
very	very
much	much
forgotten	forgotten
Which	Which
of	of
the	the
two	two
sitters	sisters
Wu	was
preferred	preferred
by	by
Captain	Captain
Wentworth	Wentworth
wan	was
as	as
yet	yet
quite	quite
doubtful	doubtful
as	as
far	far
as	as
Anne’a	Annes
observation	observation
reached	reached
Henrietta	Henrietta
was	was
perhaps	perhaps
the	the
prettieat	prettiest
Louisa	Louisa
had	had
the	the
higher	higher
lpllltl	spirits
and	and
the	she
knew	knew
not	not
new	now
whether	whether
the	the
more	more
gentle	gentle
or	or
the	the
more	more
lively	lively
character	character
were	were
most	most
likely	likely
to	to
attract	attract
him	him
Mr	Mr
and	and
Mrs	Mrs
Muegrove	Musgrove
either	either
from	from
seeing	seeing
little	little
or	or
from	from
an	an
entire	entire
conﬁdence	confidence
in	in
the	the
dilcrction	discretion
of	of
both	both
their	their
daughterl	daughters
and	and
of	of
all	all
the	the
youn	young
men	men
who	who
came	came
near	near
them	them
seemed	seemed
to	to
leave	leave
everything	everything
to	to
take	take
its	its
chance	chance
There	There
was	was
not	not
the	the
amallelt	smallest
up	appearance
arance	null
of	of
Ialicitude	solicitude
or	or
rennrk	remark
about	about
them	them
in	in
the	the
Maidenhouse	Mansionhouse
but	but
it	it
was	was
diﬂerent	different
at	at
the	the
Cottage	Cottage
the	the
ung	young
couple	couple
there	there
were	were
more	more
disputed	disposed
to	to
speculate	speculate
an	and
wonder	wonder
and	and
Captain	Captain
Wentworth	Wentworth
had	had
not	not
been	been
above	above
four	four
or	or
ﬁve	five
times	times
in	in
the	the
Min	Miss
Mutgrovea’	Musgroves
company	company
and	and
Charles	Charles
Hayter	Hayter
had	had
but	but
juat	just
ren	reappeared
paired	null
when	when
Anne	Anne
had	had
to	to
liatcn	listen
to	to
the	the
opinion	opinions
of	of
her	her
brother	brother
and	and
einter	sister
an	as
to	to
1055	which
wat	was
the	the
one	one
liked	liked
but	best
Charles	Charles
gave	gave
it	it
for	for
Lpuira	Louisa
Mary	Mary
for	for
Henrietta	Henrietta
but	but
quite	quite
agreeing	agreeing
that	that
to	to
have	have
him	him
marry	marry
either	either
would	could
be	be
extremely	extremely
delightful	delightful
76	Charles
PIRSUASION	null
Charla	null
had	had
never	never
teen	seen
I	a
pleaunter	pleasanter
nun	man
in	in
his	his
life	life
and	and
from	from
what	what
he	he
had	had
once	once
heard	heard
Captain	Captain
Wentworth	Wentworth
hinuelfuy	himself
war	say
null	was
very	very
cure	sure
that	that
he	he
had	had
not	not
made	made
lea	less
than	than
twenty	twenty
thousand	thousand
pound	pounds
by	by
the	the
war	war
Here	Here
war	was
a	a
fortune	fortune
at	at
once	once
beridel	besides
which	which
there	there
would	would
be	be
the	the
chance	chance
of	of
what	what
might	might
be	be
done	done
in	in
any	any
future	future
war	war
and	and
he	he
was	was
rare	sure
Captain	Captain
Wentworth	Wentworth
war	was
a	as
likely	likely
a	a
man	man
to	to
dinin	distinguish
ieh	himself
hrrnrelf	as
at	null
any	any
oﬂicer	officer
in	in
the	the
navy	navy
0h	Oh
it	it
would	would
I	be
upirnl	a
null	capital
match	match
for	for
either	either
of	of
hit	his
time	sisters
Upon	Upon
my	my
word	word
it	it
would	would
replied	replied
Mary	Mary
“	null
Dear	Dear
me	me
If	If
he	he
Ihould	should
ﬁle	rise
to	to
any	any
very	very
great	great
honourll	honours
If	If
he	he
Ihould	should
ever	ever
he	be
made	made
I	a
baronetl	baronet
‘Lady	Lady
Wentworth	Wentworth
’	sounds
round	null
very	very
well	well
That	That
would	would
be	be
a	a
noble	noble
thing	thing
indeed	indeed
for	for
Henrietta	Henrietta
She	She
would	would
take	take
place	place
of	of
me	me
then	then
and	and
Henrietta	Henrietta
would	would
not	not
dislike	dislike
that	that
Sir	Sir
Frederick	Frederick
and	and
Lady	Lady
Wentworth	Wentworth
It	It
would	would
be	be
but	but
a	a
new	new
creation	creation
however	however
and	and
I	I
never	never
think	think
much	much
of	of
your	your
new	new
creations”	creations
It	It
united	suited
Mary	Mary
bent	best
to	to
think	think
Henrietta	Henrietta
the	the
one	one
preferred	preferred
on	on
the	the
very	very
account	account
of	of
Charla	Charles
Hayter	Hayter
whoee	whose
retenuiom	pretensions
she	she
wrehed	wished
to	to
see	see
put	put
an	an
end	end
to	to
She	She
ooked	looked
down	down
very	very
decidedly	decidedly
upon	upon
the	the
Hnyterr	Hayters
and	and
thought	thought
it	it
would	would
be	be
quite	quite
a	a
mirfortune	misfortune
to	to
have	have
the	the
existing	existing
connection	connection
between	between
the	the
families	families
renewed—very	renewedvery
sad	sad
for	for
herself	herself
and	and
her	her
children	children
“You	You
know”	know
raid	said
the	she
“	null
I	I
cannot	cannot
think	think
him	him
at	at
all	all
a	a
ﬁt	fit
match	match
for	for
Henrietta	Henrietta
and	and
considering	considering
the	the
alliance	alliances
which	which
the	the
Murgrover	Musgroves
have	have
made	made
the	she
bar	has
no	no
right	right
to	to
throw	throw
herself	herself
away	away
I	I
do	do
not	not
think	think
any	any
young	young
woman	woman
ha	has
a	a
right	right
to	to
make	make
a	a
choice	choice
that	that
may	may
be	be
disagreeable	disagreeable
and	and
inconvenient	inconvenient
to	to
the	the
principal	principal
part	part
of	of
her	her
family	family
and	and
be	be
giving	giving
had	bad
connections	connections
to	to
those	those
who	who
have	have
not	not
been	been
uled	used
to	to
them	them
And	And
pmy	pray
who	who
in	is
Charler	Charles
Hnyter	Hayter
Nothing	Nothing
but	but
a	a
country	country
curate	curate
A	A
most	most
improper	improper
match	match
for	for
Mira	Miss
Mungrove	Musgrove
of	of
Uppererou	Uppercross
Her	Her
husband	husband
however	however
would	would
not	not
agree	agree
with	with
her	her
rmussrou	null
77	null
here	here
for	for
besides	besides
having	having
a	a
regard	regard
for	for
his	his
cousin	cousin
Charles	Charles
Hayter	Hayter
was	was
an	an
eldest	eldest
son	son
and	and
he	he
saw	saw
things	things
as	as
an	an
eldest	eldest
son	son
himself	himself
“Now	Now
you	you
are	are
talking	talking
nonsense	nonsense
Mary”	Mary
was	was
therefore	therefore
his	his
answer	answer
“	null
It	It
would	would
not	not
be	be
a	a
pen	great
match	match
for	for
Henrietta	Henrietta
but	but
Charles	Charles
has	has
a	a
very	very
fair	fair
chance	chance
through	through
the	the
Spicers	Spicers
of	of
getting	getting
something	something
from	from
the	the
Bishop	Bishop
in	in
the	the
course	course
of	of
a	a
year	year
or	or
two	two
and	and
you	you
will	will
please	please
to	to
remember	remember
that	that
he	he
is	is
the	the
eldest	eldest
son	son
whenever	whenever
my	my
uncle	uncle
dies	dies
he	he
steps	steps
into	into
very	very
pretty	pretty
property	property
The	The
estate	estate
at	at
Winthro	Winthrop
Is	is
not	not
less	less
than	than
two	two
hundred	hundred
and	and
ﬁfty	fifty
acres	acres
besides	besides
e	the
farm	farm
near	near
Tsunton	Taunton
which	which
is	is
some	some
of	of
the	the
best	best
land	land
in	in
the	the
country	country
I	I
grant	grant
you	you
that	that
an	any
of	of
them	them
but	but
Charles	Charles
would	would
be	be
a	a
very	very
shocking	shocking
match	match
or	for
Henrietta	Henrietta
and	and
indeed	indeed
it	it
could	could
not	not
be	be
he	he
is	is
the	the
only	only
one	one
that	that
could	could
be	be
possible	possible
but	but
he	he
is	is
a	a
very	very
oodnstured	goodnatured
good	good
sort	sort
of	of
a	a
fellow	fellow
and	and
whenever	whenever
inthrop	Winthrop
comes	comes
into	into
his	his
hands	hands
he	he
will	will
make	make
a	a
diﬁerent	different
sort	sort
of	of
lace	place
of	of
it	it
and	and
live	live
in	in
s	a
vc	very
diﬂerent	different
sort	sort
of	of
way	way
an	and
with	with
that	that
property	property
he	he
wil	will
never	never
be	be
a	a
contemptibk	contemptible
man—good	mangood
freehold	freehold
property	property
No	No
no	no
Henrietta	Henrietta
might	might
do	do
worse	worse
than	than
many	marry
Charles	Charles
Hayter	Hayter
and	and
if	if
she	she
has	has
him	him
and	and
Louisa	Louisa
can	can
get	get
Captain	Captain
Wentworth	Wentworth
I	I
shall	shall
be	be
very	very
well	well
satisﬁed”	satisfied
“	null
Charles	Charles
may	may
say	say
what	what
he	he
pleases	pleases
cried	cried
Mary	Mary
to	to
Anne	Anne
as	as
soon	soon
as	as
he	he
was	was
out	out
of	of
the	the
room	room
but	but
it	it
would	would
be	be
shockiu	shocking
so	to
have	have
Henrietta	Henrietta
marry	marry
Charles	Charles
Hsyter	Hayter
I	a
ve	very
be	bad
thing	thing
for	for
hr	her
and	and
still	still
worse	worse
for	for
m	me
g	null
and	and
the	therefore
ore	null
it	it
is	is
very	very
much	much
to	to
he	be
wished	wished
that	that
Captain	Captain
Wentworth	Wentworth
may	may
soon	soon
put	put
him	him
quite	quite
out	out
of	of
her	her
head	head
and	and
I	I
have	have
very	very
little	little
doubt	doubt
that	that
he	he
has	has
She	She
took	took
hardly	hardly
any	any
notice	notice
of	of
Charles	Charles
Hayter	Hayter
yesterday	yesterday
I	I
wish	wish
you	you
had	had
been	been
there	there
to	to
see	see
her	her
behaviour	behaviour
And	And
as	as
to	to
Captain	Captain
Wentworths	Wentworths
liking	liking
Louisa	Louisa
as	as
well	well
as	as
Henrietta	Henrietta
it	it
is	is
nonsense	nonsense
to	to
say	say
so	so
for	for
he	he
certainly	certainly
rim	does
like	like
Henrietta	Henrietta
a	a
great	great
deal	deal
the	the
best	best
But	But
Charles	Charles
is	is
so	so
positive	positive
73	null
Pnnsussmn	null
I	I
wish	wish
you	you
had	had
been	been
with	with
us	us
yesterda	yesterday
for	for
then	then
you	you
might	might
have	have
decided	decided
between	between
us	us
and	and
null	I
am	am
sure	sure
you	you
would	would
have	have
thought	thought
as	as
I	I
did	did
unless	unless
you	you
had	had
been	been
determined	determined
to	to
give	give
it	it
against	against
me	me
A	A
dinner	dinner
at	at
Mr	Mr
Mus	Musgroves
rove’s	null
had	had
been	been
the	the
occasion	occasion
when	when
all	all
these	these
things	things
shou	should
d	null
have	have
been	been
seen	seen
by	by
Anne	Anne
but	but
she	she
had	had
staid	staid
at	at
home	home
under	under
the	the
mixed	mixed
plea	plea
of	of
a	a
headache	headache
of	of
her	her
own	own
and	and
some	some
retum	return
of	of
indisposition	indisposition
in	in
little	little
Charles	Charles
She	She
had	had
thought	thought
only	only
of	of
avoiding	avoiding
Captain	Captain
Wentworth	Wentworth
but	but
an	an
escape	escape
from	from
being	being
aypealed	appealed
to	to
as	as
umpire	umpire
was	was
now	now
added	added
to	to
the	the
advantages	advantages
of	of
a	a
quiet	quiet
evening	evening
As	As
to	to
Captain	Captain
Wentworth’s	Wentworths
views	views
she	she
deemed	deemed
it	it
of	of
more	more
consequence	consequence
that	that
he	he
should	should
know	know
his	his
own	own
mind	mind
early	early
enough	enough
not	not
to	to
be	be
endangering	endangering
the	the
happiness	happiness
of	of
either	either
sister	sister
or	or
impeaching	impeaching
his	his
own	own
honour	honour
than	than
that	that
he	he
should	should
prefer	prefer
Henrietta	Henrietta
to	to
Louisa	Louisa
or	or
Louisa	Louisa
to	to
Henrietta	Henrietta
Either	Either
of	of
them	them
would	would
in	in
all	all
Probability	probability
make	make
him	him
an	an
affectionate	affectionate
humoured	goodhumoured
wife	wife
With	With
regard	regard
to	to
Charles	Charles
Hayter	Hayter
she	she
had	had
delicacy	delicacy
which	which
must	must
be	be
pained	pained
by	by
any	any
lightness	lightness
of	of
conduct	conduct
in	in
a	a
wellmning	wellmeaning
young	young
woman	woman
and	and
a	a
heart	heart
to	to
Pgilrathize	sympathize
in	in
any	any
of	of
the	the
sufferings	sufferings
it	it
occasioned	occasioned
but	but
enrietta	if
null	Henrietta
found	found
herself	herself
mistaken	mistaken
in	in
the	the
nature	nature
of	of
her	her
feelings	feelings
the	the
alteration	alteration
could	could
not	not
be	be
understood	understood
too	too
soon	soon
Charles	Charles
Hayter	Hayter
had	had
met	met
with	with
much	much
to	to
disquiet	disquiet
and	and
mortify	mortify
him	him
in	in
his	his
cousin’s	cousins
behaviour	behaviour
She	She
had	had
too	too
old	old
I	a
regard	regard
for	for
him	him
to	to
be	be
so	so
wholly	wholly
estranged	estranged
as	as
might	might
in	in
two	two
meetings	meetings
extinguish	extinguish
every	every
past	past
hope	hope
and	and
leave	leave
him	him
nothing	nothing
to	to
do	do
but	but
to	to
keep	keep
away	away
from	from
Uppercross	Uppercross
but	but
there	there
was	was
such	such
a	a
change	change
as	as
became	became
very	very
alarming	alarming
when	when
such	such
a	a
man	man
as	as
Captain	Captain
Wentworth	Wentworth
was	was
to	to
be	be
regarded	regarded
as	as
the	the
probable	probable
cause	cause
He	He
had	had
been	been
ailment	absent
only	only
two	two
Sundays	Sundays
and	and
when	when
they	they
parted	parted
hid	had
left	left
her	her
interested	interested
even	even
to	to
the	the
height	height
of	of
his	his
wishes	wishes
in	in
his	his
pro	prospect
spect	null
of	of
soon	soon
quitting	quitting
his	his
present	present
curacy	curacy
and	and
obtaining	obtaining
runsussron	null
79	null
that	that
of	of
Uppercmss	Uppercross
instead	instead
It	It
had	had
then	then
seemed	seemed
the	the
object	object
nearest	nearest
her	her
hurt	heart
that	that
Dr	Dr
Shirley	Shirley
the	the
rector	rector
who	who
for	for
more	more
than	than
fort	forty
years	years
had	had
been	been
zealoiuly	zealously
discharging	discharging
all	all
the	the
duties	duties
0	of
his	his
ofﬁce	office
but	but
was	was
now	now
rowing	growing
too	too
Inﬁrm	infirm
for	for
many	many
of	of
them	them
should	should
be	be
quite	quite
xed	fixed
an	on
engaging	engaging
a	a
curate	curate
should	should
make	make
his	his
curacy	curacy
quite	quite
as	as
good	good
as	as
he	he
could	could
afford	afford
and	and
should	should
give	give
Charles	Charles
Hayter	Hayter
the	the
promise	promise
of	of
it	it
The	The
advantage	advantage
of	of
his	his
having	having
to	to
come	come
only	only
to	to
Uppercross	Uppercross
instead	instead
of	of
going	going
six	six
miles	miles
another	another
war	way
of	of
his	his
having	having
in	in
every	every
ct	respect
a	a
better	better
curacy	curacy
0	of
his	his
belonging	belonging
to	to
their	their
dmr	dear
null	Dr
Shirley	Shirley
and	and
of	of
dear	dear
good	good
Dr	Dr
Shirleys	Shirleys
being	being
relieved	relieved
from	from
the	the
duty	duty
which	which
he	he
could	could
no	no
longer	longer
get	get
through	through
without	without
most	most
injurious	injurious
fatigue	fatigue
had	had
been	been
a	a
great	great
deal	deal
even	even
to	to
Louisa	Louisa
but	but
had	had
been	been
almost	almost
everything	everything
to	to
Henrietta	Henrietta
When	When
he	he
came	came
back	back
alul	alas
the	the
zeal	zeal
of	of
the	the
business	business
was	was
gone	gone
null	by
Louisa	Louisa
could	could
not	not
listen	listen
at	at
all	all
to	to
his	his
account	account
of	of
a	a
conversation	conversation
which	which
he	he
had	had
null	just
held	held
with	with
Dr	Dr
Shirl	Shirley
she	she
was	was
at	at
the	a
window	window
looking	looking
out	out
for	for
Ca	Captain
tam	null
Wentworth	Wentworth
and	and
even	even
Henrietta	Henrietta
had	had
at	at
best	best
on	only
y	null
a	a
divided	divided
attention	attention
to	to
ive	give
and	and
seemed	seemed
to	to
have	have
forgotten	forgotten
all	all
the	the
former	former
don	doubt
t	null
and	and
solicitude	solicitude
of	of
the	the
negociation	negotiation
“Well	Well
I	I
am	am
very	very
glad	glad
indeed	indeed
but	but
I	I
always	always
thought	thought
you	you
would	would
have	have
it	it
I	I
always	always
thought	thought
you	you
sure	sure
It	It
did	did
not	not
appear	appear
to	to
me	me
that—in	thatin
short	short
you	you
know	know
Dr	Dr
Shirley	Shirley
mu	must
have	have
a	a
curate	curate
and	and
you	you
had	had
secured	secured
his	his
promise	promise
II	Is
he	he
coming	coming
Louisa	Louisa
’	null
One	One
morning	morning
very	very
soon	soon
after	after
the	the
dinner	dinner
at	at
the	the
Musgroves	Musgroves
at	at
which	which
Anne	Anne
had	had
not	not
been	been
present	present
Captain	Captain
Weutworth	Wentworth
walked	walked
into	into
the	the
drawingroom	drawingroom
It	at
the	the
Cottage	Cottage
where	where
were	were
only	only
herself	herself
and	and
the	the
little	little
invalid	invalid
Charles	Charles
who	who
was	was
lyin	lying
on	on
the	the
sofa	sofa
The	The
surprise	surprise
of	of
ﬁnding	finding
himself	himself
almost	almost
alone	alone
with	with
Anne	Anne
Elliot	Elliot
deprived	deprived
his	his
manners	manners
of	of
their	their
usual	usual
coinposule	composure
he	he
started	started
and	and
could	could
only	only
say	say
“	null
I	I
thought	thought
the	the
8°	null
masuasron	null
Miss	Miss
Mugroves	Musgroves
had	had
been	been
here	here
Mrs	Mrs
Musgrove	Musgrove
told	told
me	me
I	I
should	should
ﬁnd	find
them	them
here	here
before	before
he	he
walked	walked
to	to
the	the
window	window
to	to
recollect	recollect
himself	himself
and	and
feel	feel
how	how
he	he
ought	ought
to	to
behave	behave
“They	They
are	are
upstairs	up
null	stairs
with	with
my	my
sister	sister
they	they
will	will
be	be
down	down
in	in
a	a
few	few
moments	moments
I	I
dare	dare
say”	say
had	had
been	been
Anne’s	Annes
reply	reply
in	in
all	all
the	the
confusion	confusion
that	that
was	was
natural	natural
and	and
if	if
the	the
child	child
had	had
not	not
called	called
her	her
to	to
come	come
and	and
do	do
something	something
for	for
him	him
she	she
would	would
have	have
been	been
out	out
of	of
the	the
room	room
the	the
next	next
moment	moment
and	and
released	released
Captain	Captain
Wentwonh	Wentworth
as	as
well	well
as	as
herself	herself
He	He
continued	continued
at	at
the	the
window	window
and	and
after	after
calmly	calmly
and	and
politely	politely
saying	saying
“	null
I	I
hope	hope
the	the
little	little
boy	boy
is	is
better”	better
was	was
silent	silent
She	She
was	was
obliged	obliged
to	to
kneel	kneel
down	down
by	by
the	the
sofa	sofa
and	and
remain	remain
then	there
to	to
satisfy	satisfy
her	her
patient	patient
and	and
thus	thus
they	they
continned	continued
a	a
few	few
minutes	minutes
when	when
to	to
her	her
very	very
great	great
satisfaction	satisfaction
she	she
heard	heard
some	some
other	other
person	person
crossing	crossing
the	the
little	little
vestibule	vestibule
She	She
hoped	hoped
on	on
turning	turning
her	her
head	head
to	to
see	see
the	the
master	master
of	of
the	the
house	house
but	but
it	it
proved	proved
to	to
be	be
one	one
much	much
less	less
calculated	calculated
for	for
making	making
matters	matters
easy—Charles	easyCharles
Hayter	Hayter
robably	probably
not	not
at	at
all	all
better	better
pleased	pleased
by	by
the	the
sight	sight
of	of
Captain	Captain
lVentworth	Wentworth
than	than
Captain	Captain
Wentworth	Wentworth
had	had
been	been
by	by
the	the
sight	sight
of	of
Anne	Anne
She	She
only	only
attempted	attempted
to	to
say	say
“How	How
do	do
you	you
do	do
Will	Will
not	you
you	not
sit	sit
down	down
The	The
others	others
will	will
be	be
here	here
presently	presently
Captain	Captain
Wentworth	Wentworth
however	however
came	came
from	from
his	his
window	window
apparently	apparently
not	not
illdisposed	illdisposed
for	for
conversation	conversation
but	but
Charles	Charles
Hayter	Hayter
soon	soon
put	put
an	an
end	end
to	to
his	his
attempts	attempts
by	by
sating	seating
himself	himself
near	near
the	the
table	table
and	and
taking	taking
up	up
the	the
newspaper	newspaper
and	and
Captain	Captain
Wentworth	Wentworth
returned	returned
to	to
his	his
window	window
Another	Another
minute	minute
brought	brought
another	another
addiuon	addition
The	The
younger	younger
boy	boy
a	a
remarkable	remarkable
stout	stout
forward	forward
child	child
of	of
two	two
years	years
old	old
having	having
got	got
the	the
door	door
opened	opened
for	for
him	him
by	by
some	some
one	one
without	without
made	made
his	his
determined	determined
appearance	appearance
among	among
Pluuuron’	null
8	null
them	them
and	and
went	went
unight	straight
to	to
the	the
cafe	sofa
to	to
nee	see
what	what
wan	was
going	going
on	on
and	and
put	put
in	in
hie	his
claim	claim
to	to
anything	anything
good	good
that	that
might	might
be	be
giving	giving
away	away
There	There
being	being
nothing	nothing
to	to
be	null
eat	eat
he	he
could	could
only	only
have	have
some	some
play	play
and	and
hi	as
null	his
aunt	aunt
would	would
not	not
let	let
him	him
teaze	tease
hiIick	his
null	sick
brother	brother
he	he
began	began
to	to
fasten	fasten
himtelf	himself
upon	upon
her	her
an	as
the	she
kneltin	knelt
null	in
such	such
a	a
way	way
that	that
busy	busy
as	as
the	she
win	was
about	about
Charla	Charles
the	she
could	could
not	not
ehake	shake
him	him
oil	off
She	She
spoke	spoke
to	to
him	him
ordered	ordered
intreamd	entreated
and	and
insieted	insisted
in	in
vain	vain
Once	Once
she	she
did	did
contrive	contrive
to	to
12th	push
him	him
awny	away
but	but
the	the
boy	boy
had	had
the	the
greater	greater
pleauure	pleasure
in	in
getting	getting
upon	upon
her	her
back	back
again	again
directly	directly
Walter”	Walter
laid	said
the	she
“	null
get	get
down	down
this	this
moment	moment
You	You
are	are
extremely	extremely
troublelome	troublesome
I	I
am	am
very	very
engry	angry
with	with
on	you
r	Walter
y	null
“	null
Walter”	null
cried	cried
Charle	Charles
nyter	Hayter
“	null
why	why
do	do
you	you
not	not
do	do
a	as
on	you
are	are
bid	bid
Do	Do
not	not
you	you
huryournunt	hear
l	your
k	aunt
me	speak
null	Come
to	to
me	me
Walter	Walter
come	come
to	to
coulin	cousin
Eden	Charles
But	But
not	not
a	a
hit	bit
did	did
Walter	Walter
Itir	stir
In	In
another	another
moment	moment
however	however
she	she
found	found
herself	herself
in	in
the	the
state	state
of	of
being	being
relealed	released
from	from
him	him
name	some
one	one
was	was
taking	taking
him	him
from	from
her	her
though	though
he	he
had	had
bent	bent
down	down
her	her
head	head
to	so
much	much
that	that
his	his
little	little
uurdy	sturdy
hand	hands
were	were
unfutened	unfastened
from	from
around	around
her	her
neck	neck
and	and
he	he
wu	was
reeolutel	resolutely
borne	borne
away	away
before	before
she	she
knew	knew
that	that
Captain	Captain
Wentwo	Wentworth
had	had
done	done
it	it
Her	Her
Ienuationl	sensations
on	on
the	the
discovery	discovery
made	made
her	her
perfectly	perfectly
Ipeechleu	speechless
She	She
could	could
not	not
even	even
thank	thank
him	him
She	She
could	could
only	only
hung	hang
over	over
little	little
Chzrlee	Charles
with	with
molt	most
dilordered	disordered
feelings	feelings
Hie	His
kindneu	kindness
in	in
lapping	stepping
forward	forward
to	to
her	her
relief	relief
the	the
manner	manner
the	the
silence	silence
in	in
which	which
it	it
had	had
pueed	passed
the	the
little	little
particular	particulars
of	of
the	the
circumstance	circumstance
with	with
the	the
conviction	conviction
noon	soon
forced	forced
on	on
her	her
by	by
the	the
noise	noise
he	he
was	was
Itudioualy	studiously
making	making
widi	with
the	the
child	child
that	that
he	he
meant	meant
to	to
avoid	avoid
hearing	hearing
her	her
thanks	thanks
and	and
rather	rather
sought	sought
to	to
teatify	testify
that	that
her	her
converention	conversation
wan	was
the	the
lat	last
of	of
hi	his
wants	wants
produced	produced
such	such
a	a
82	confusion
PRISUASIOH	null
coalition	null
of	of
varying	varying
but	but
null	very
null	painful
agitation	agitation
at	as
Ihe	she
could	could
not	not
recover	recover
from	from
till	till
null	enabled
by	by
the	the
entrance	entrance
of	of
Mary	Mary
and	and
the	the
Min	Miss
